# X(mm) Y(mm) Z(mm)
-160.290 1.780 761.459
-148.767 -8.606 777.354
-137.062 -0.276 771.008
-126.111 -29.569 814.948
-111.740 43.575 800.702
-108.013 47.771 816.626
-139.531 9.454 760.392
-136.768 -30.729 797.317
-111.864 -29.809 803.726
-108.996 -2.248 819.129
-110.138 5.514 762.405
-156.332 -21.095 760.265
-109.275 36.867 809.413
-106.965 49.152 796.130
-152.926 -30.478 807.488
-178.648 16.009 763.416
-163.498 -17.032 759.959
-170.645 -30.838 807.089
-110.276 -6.312 787.259
-134.940 -23.686 752.405
-110.064 38.686 756.765
-141.631 -19.202 754.649
-111.533 0.745 818.720
-108.078 -5.496 751.430
-110.636 27.930 824.318
-111.142 -3.649 791.242
-118.027 -30.424 775.547
-112.669 22.480 806.990
-108.066 -29.414 766.214
-161.593 15.171 772.374
-109.647 0.915 833.909
-165.665 -30.432 830.864
-107.561 6.860 776.846
-112.600 31.127 814.278
-124.855 -29.822 771.322
-120.870 -30.612 796.541
-116.504 -30.615 846.702
-118.911 -14.195 756.371
-154.807 10.291 765.136
-107.308 -28.276 773.712
-109.098 -3.955 764.610
-110.738 42.193 778.752
-111.924 -7.837 826.362
-111.336 8.796 782.962
-108.296 28.406 752.396
-127.331 17.593 760.661
-108.707 -10.585 818.729
-188.623 -30.211 777.738
-126.519 -29.870 765.816
-107.983 23.368 820.363
-179.684 -30.312 776.237
-173.671 -29.470 778.418
-111.562 -11.120 755.220
-115.868 5.324 777.138
-108.303 -16.263 795.138
-174.671 -28.864 765.103
-138.059 -29.400 778.623
-110.347 8.825 818.740
-180.045 -30.132 821.916
-111.095 8.440 794.772
-115.387 -3.805 758.411
-130.218 -30.103 813.847
-159.407 45.629 760.774
-144.214 -29.550 806.859
-106.754 -18.612 751.142
-107.955 40.676 798.781
-109.983 -3.161 828.775
-121.726 -29.776 811.445
-124.404 -8.655 749.384
-168.533 -25.790 758.683
-185.348 -29.452 815.303
-175.618 -30.298 768.733
-178.013 -24.019 776.971
-184.130 22.664 759.953
-134.443 -30.026 772.814
-109.599 -28.261 770.678
-108.248 -4.625 811.510
-136.353 -30.369 775.721
-129.020 31.713 767.993
-109.050 -20.648 767.779
17.413 39.335 880.692
29.326 -49.935 865.299
30.621 -18.136 919.507
19.032 -47.147 861.342
-21.380 -49.790 882.778
30.836 -48.224 889.444
18.131 -36.487 879.020
29.532 -44.824 932.689
-8.024 37.958 853.002
-3.746 12.393 866.385
-13.220 39.962 878.756
11.082 -50.557 872.626
7.538 -49.404 912.236
25.621 -18.883 877.143
30.218 31.383 896.780
29.483 -16.808 921.780
3.240 -50.808 895.049
20.058 -16.323 859.358
30.156 -38.194 910.945
29.225 -49.417 882.779
-23.000 -50.622 874.384
30.453 -24.501 902.531
-16.977 -49.989 873.409
29.820 36.935 901.355
30.432 -15.518 873.699
30.146 -48.356 883.353
30.808 13.979 879.926
3.209 45.072 873.164
30.308 -44.874 910.348
20.752 -49.542 866.284
8.785 -48.266 873.918
30.419 -9.161 869.086
-27.130 -49.990 905.747
5.021 19.786 866.865
-25.016 26.291 857.392
-1.353 -48.978 908.051
29.925 19.273 925.452
29.672 -37.714 926.045
29.662 -39.710 909.167
30.605 47.190 895.833
21.686 -52.420 922.090
-12.163 -50.420 893.818
-8.703 -45.813 871.902
30.527 48.604 913.629
-23.449 -49.405 909.727
-30.134 -28.547 866.322
16.058 -44.914 876.475
30.123 36.920 928.273
29.298 -31.707 902.808
-23.815 -36.440 870.463
14.985 -50.407 881.533
19.488 -43.423 867.852
-23.877 -49.883 871.105
29.873 48.989 921.805
25.770 -50.564 934.681
9.464 -49.339 889.246
23.841 -50.642 878.805
8.480 -49.047 906.318
29.673 9.700 878.723
30.071 13.492 916.789
-20.623 42.038 870.322
30.208 -46.260 893.374
